quote,rating_num,title
你是我最好的朋友，你是我唯一的朋友 。,8.9,玛丽和马克思
缘分是个连绵词，最美不过一瞬。,8.8,爱在黎明破晓前
尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,9.0,小森林 冬春篇
少女情怀总是诗。,8.9,侧耳倾听
没有一人完全善，也没有一人完全恶。,8.7,告白
我们都曾经是一一。,9.0,一一
抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,8.8,大鱼
再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,8.8,阳光姐妹淘
华太师是黄霑，吴镇宇四大才子之一。,8.6,唐伯虎点秋香
诺兰就是保证。,8.8,蝙蝠侠：黑暗骑士崛起
百看不厌。 ,8.7,射雕英雄传之东成西就
两张绝世的脸。 ,8.7,倩女幽魂
穷尽一生，我们要学会的，不过是彼此拥抱。,8.9,超脱
相逢只要一瞬间，等待却像是一辈子。,8.8,甜蜜蜜
和谐的生活离不开摸头与被摸头。,8.7,驯龙高手
触不到的恋人。,8.9,萤火之森
恐怖分子的“秋菊打官司”。,8.8,恐怖直播
从没见过那么流氓的温柔，从没见过那么温柔的流氓。,8.8,菊次郎的夏天
有时候幸福需要等一等。 ,8.8,幸福终点站
Balalala~~~,8.7,超能陆战队
我的平常生活就是他人的幸福。,9.1,无人知晓
九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,8.8,爱在日落黄昏时
曾经的那段美好会沉淀为一辈子的记忆。,8.8,借东西的小人阿莉埃蒂
Mr. I Don't Care其实也有Care的时候。,8.6,神偷奶爸
不要给它起名字，起了名字就有感情了。,8.7,怪兽电力公司
坏人的好总是比好人的好来得更感人。,9.1,完美的世界
跨度十五年的欢乐与泪水。,8.8,玩具总动员3
动画片的圣经。,8.9,风之谷
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,8.7,血战钢锯岭
被上帝抛弃了的上帝之城。,8.9,上帝之城
爱是摈弃傲慢与偏见之后的曙光。,8.6,傲慢与偏见
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,8.7,时空恋旅人
真相就在眼前。,8.7,电锯惊魂
任何信念的力量，都无法改变命运。,8.9,教父3
中国家庭的喜怒哀乐忍。,8.9,喜宴
警恶惩奸，维护世界和平这个任务就交给你了，好吗？,8.5,功夫
像吃了苏打饼一样干脆的电影。,8.8,谍影重重3
岁月流逝，来日可追。,8.7,岁月神偷
英雄泪短，兄弟情长。 ,8.7,英雄本色
热血沸腾，那个低俗、性感的无耻混蛋又来了。,8.7,被解救的姜戈
时代悲歌。,9.2,七武士
传奇的年代，醉人的童话。,9.2,天书奇谭
老少皆宜，这就是好莱坞动画的魅力。,8.7,疯狂原始人
想你时你在闹海。,9.1,哪吒闹海
爱并不需要智商 。,8.9,我是山姆
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,8.7,心迷宫
怼天怼地，你走后，她与世界为敌。,8.7,三块广告牌
幸福是生生不息，却难以触及的远。 ,8.7,萤火虫之墓
香港浪漫主义警匪动作片的巅峰之作。,8.8,纵横四海
